fold,epoca,loss_tr,loss_val,f1_val
1,1,0.6156323853024307,0.5254575415070624,0.8106833410848836
1,2,0.45247986727222694,0.5019077711450519,0.8133309907931223
1,3,0.444465497430031,0.4933094215000982,0.8149455047699615
1,4,0.43899050580421084,0.5036731954624232,0.8034151123623549
1,5,0.43500128372098645,0.47236477375757563,0.7984015756223561
1,6,0.43186864808273523,0.47308571687202033,0.8239776860404439
1,7,0.42966962677810683,0.49104465669184516,0.7927975001068249
1,8,0.4281073009516301,0.4658978160500206,0.8231346627991551
1,9,0.4273943661239832,0.45688786681835875,0.8257334197467165
1,10,0.4258081363579067,0.4809937399885004,0.8097344797637346
1,11,0.4234867293661414,0.48030112444129736,0.7955067254383371
1,12,0.4237053357810171,0.4919931483988858,0.7954103374518916
1,13,0.4223680768535168,0.49554240549518624,0.8334970551050246
1,14,0.4197576902768586,0.5523605780915515,0.7854605190658906
1,15,0.41873860147268877,0.5049257377091034,0.7986700723807155
1,16,0.41881143615389316,0.4795728402075265,0.8232284296882063
1,17,0.41687432294207843,0.4518496515461279,0.8240511575767263
1,18,0.4164632423599268,0.49021999023279694,0.7990047432352153
1,19,0.4143825310263665,0.5214442678273551,0.8103038885780299
1,20,0.41406210193966286,0.5075040484213893,0.8360721963696208
1,21,0.4164831942812744,0.467559602348787,0.8032448912935433
1,22,0.412738585081219,0.5282683194285167,0.7876117957336367
1,23,0.41179613446243457,0.5059731421470296,0.7896018159420182
1,24,0.4114270419567461,0.4703370505347626,0.8293831206970651
2,1,0.6223639650856589,0.4751762266178218,0.8615117694330668
2,2,0.47447839305553247,0.39221147024022035,0.8415911155653394
2,3,0.4634750835274304,0.36068941131747834,0.8704571890833984
2,4,0.45972686550016767,0.3728180573594878,0.8611050898767115
2,5,0.45627214324305526,0.4330935096057985,0.8012729884883075
2,6,0.45170493947348417,0.3529573371515528,0.8758033833159115
2,7,0.45010376863490587,0.39675158041811176,0.8338064660146737
2,8,0.44823713985952235,0.35230675495468466,0.8666454365366955
2,9,0.44650615960778256,0.3513076535999077,0.8719047108056501
2,10,0.4447576243559368,0.40802400423097335,0.8175473518680244
2,11,0.4433281503430025,0.35636241978048455,0.8677445040629549
2,12,0.44222434054537,0.36752460962383443,0.8482134513141507
2,13,0.4401551929501315,0.35036339298409275,0.8724523870009376
2,14,0.43917655191640587,0.38396968299991635,0.8386999565911603
2,15,0.4378058249898628,0.34281471309206674,0.8742435863543213
2,16,0.43446865943148205,0.3574691174488565,0.856063875930781
2,17,0.43522078058137026,0.3447441742379896,0.8780265617271645
2,18,0.4337676886485781,0.370078391628746,0.8566540059473287
2,19,0.4313122839304789,0.36327301187341576,0.8579179281480847
2,20,0.4305798944496227,0.3407726836816963,0.876890676607475
2,21,0.4301014584303014,0.35473422515515085,0.858451612978819
2,22,0.42941765197433,0.3556541911561442,0.8803794036452226
2,23,0.42762708797963633,0.36270459369351,0.8627536020644505
2,24,0.42594730933868546,0.345832232449308,0.8779007711765946
2,25,0.4256318212330407,0.4114231223944305,0.871611088856784
2,26,0.42492247902366037,0.3426522808840271,0.8794229477647008
2,27,0.42306434274275057,0.34226956608183745,0.8796697984297146
2,28,0.423034826670284,0.33417945772914437,0.877779704684413
2,29,0.42010719352464077,0.3615977057590072,0.8807378005688039
2,30,0.42049050217274053,0.3466931306514513,0.856588649943517
2,31,0.42166285792846064,0.34240548529763765,0.8747600696830612
2,32,0.42054456402430496,0.3366968678407212,0.8775222324438734
2,33,0.41870085774557686,0.3555693202886048,0.861538490773908
2,34,0.4172988736881699,0.3487297419728765,0.8737260874169733
2,35,0.4171391053634574,0.3471667428358378,0.8756480809881265
2,36,0.41635757373677923,0.3723815889570026,0.8534737849798307
2,37,0.41491092654547157,0.4006218843862002,0.8724076358807781
2,38,0.41363169177526227,0.34714439896855387,0.8760441211365882
2,39,0.4117432797121467,0.34511534203890104,0.8635205187872326
2,40,0.4126698118855345,0.377958192561134,0.8426037797421051
2,41,0.41221839185125164,0.3362572663765738,0.8773995313625909
2,42,0.4096773986721007,0.4105589675682012,0.8726656895767574
2,43,0.40934033804191633,0.35284494774312275,0.8691226033448455
3,1,0.6152000876472989,0.5836482872608416,0.7974192662798165
3,2,0.4564888815147805,0.49130252103078437,0.8130959464317004
3,3,0.4472400089760593,0.455001733417762,0.8258043404195493
3,4,0.44162022676837326,0.5065623460626757,0.8168263280867712
3,5,0.43756578389108036,0.4693102656771561,0.8298171066935257
3,6,0.4352817439918938,0.5143994129323516,0.8036285577028183
3,7,0.4341637363769061,0.4706088505591218,0.8194987759520136
3,8,0.4318468623700637,0.46519584622760735,0.8253722201211513
3,9,0.42888052496483653,0.47263165363682247,0.819608346548971
3,10,0.42865079077449725,0.47691589380417854,0.8166881337537225
3,11,0.4281860979666042,0.5010047478508493,0.7948255317224883
3,12,0.42556242494079155,0.5718221664473794,0.7772837495525433
3,13,0.4241767840514281,0.48664347498889915,0.7974884068205665
3,14,0.4225037340847628,0.49540282032888494,0.8028164859074147
3,15,0.4224972122722354,0.5082942791140554,0.8220222934288895
3,16,0.42239265682479515,0.5027466226828711,0.8002203750208965
3,17,0.41973845618356076,0.48772133900677234,0.8097422111980911
3,18,0.41865001393755563,0.5364491414774943,0.8187559842139591
4,1,0.6180730976014442,0.5055395382723226,0.8315839087570168
4,2,0.4498606209462711,0.6223371077233097,0.8268700346492744
4,3,0.4391271265479242,0.49984581518642607,0.8357825636162769
4,4,0.4330786036824137,0.513459953070676,0.8328630795320815
4,5,0.4294665962957985,0.5072364102884089,0.8169192588235749
4,6,0.4276279815351592,0.48279934004258274,0.8355206747548927
4,7,0.42470953226820857,0.5185370475127973,0.8197970834490018
4,8,0.4223579913614519,0.4803379865746391,0.8337779289296104
4,9,0.4197010212145031,0.49075293719449303,0.8384427900724792
4,10,0.41830480607666953,0.5095905867841005,0.8305373225334399
4,11,0.41674771245904374,0.4930814428032546,0.8321659500321719
4,12,0.41503941763649743,0.4860256674414335,0.8347292591644365
4,13,0.4136220611143095,0.5461293420182316,0.8283672111260064
4,14,0.41167041714066066,0.5162368751160293,0.837307389474584
4,15,0.41032556596002484,0.49022078459471646,0.832108637697003
4,16,0.40861226417844954,0.5191410284978624,0.8257816219798211
4,17,0.40928584909730725,0.6257491608528185,0.8201077806834821
4,18,0.4073264627685184,0.5356930468860611,0.8300757889730047
4,19,0.40720705932829576,0.5104780396994687,0.820886622620027
4,20,0.4055207294682891,0.49914046810872326,0.8396467614241789
4,21,0.40360127117616523,0.5351829353348742,0.8027235638959397
5,1,0.5834188668717388,0.7439855411840572,0.7588152048485144
5,2,0.42429607155720167,0.6805797314239455,0.7739487408119269
5,3,0.41611642697546397,0.6927851102540985,0.7784667167913807
5,4,0.40994116400619107,0.7646882344868333,0.7629044865589263
5,5,0.40669618702842164,0.6688242094473064,0.7824345020652554
5,6,0.40328795315772953,0.672616801604202,0.7819264927541122
5,7,0.4018202833222896,0.6868738015230977,0.77891415412402
5,8,0.4003667320774718,0.6525961484770766,0.768082412729255
5,9,0.39863564812856644,0.64833980786535,0.7872065856870872
5,10,0.3974490931987489,0.6817972634202618,0.7866298046746132
5,11,0.3958781395069749,0.633744545584463,0.7775612084710134
5,12,0.39423968404856347,0.7513642692843947,0.7746969952023588
5,13,0.3943543383931083,0.6693341498950495,0.7867353145964223
5,14,0.3914472788805988,0.6924829156122911,0.7737942553925895
5,15,0.391406374819809,0.738537551637998,0.7758196863886822
5,16,0.390400476580164,0.660232497619243,0.7892532542625044
5,17,0.388039305545696,0.9040242979495107,0.75061179967033
5,18,0.3856332803586401,0.7674648985661613,0.7613442210868039
5,19,0.38640450039929425,0.8508535113891436,0.7403839770181025
5,20,0.3852608722809693,0.7039710020145178,0.7790480662508924
5,21,0.3817636541163039,0.8088731536915063,0.7761927738317058
5,22,0.38393389310885123,0.8188719985278541,0.7578229918519792
5,23,0.38108517744044634,0.7195270620393659,0.7865568855861681
5,24,0.37985723300540075,0.8526814024448034,0.7584399964858698
5,25,0.3787781726472759,0.7717492508198589,0.7543701219795548
5,26,0.3782635641271285,0.7896434139089658,0.7598320198231883
